"Ano";"Mês";"SEF";"Variavel";"Valor";"Cód índ"
2020;"Março";13;"Patrimônio Cultural";17282,4562272793;5
2020;"Março";13;"Receita Própria";11643,9536286993;6
2020;"Março";13;"Cota Mínima";63473,7756437878;11
2020;"Março";13;"Mineradores";0;12
2020;"Março";13;"Saúde per capita";27820,8681640467;16
2020;"Março";13;"VAF";23989,3489813451;10
2020;"Março";13;"Esportes";0;22
2020;"Março";13;"Turismo";0;28
2020;"Março";13;"Penitenciárias";0;26
2020;"Março";13;"Recursos Hídricos";0;27
2020;"Março";13;"Produção de Alimentos";2659,21430465084;9
2020;"Março";13;"Unidades de Conservação (IC i)";15119,9089304066;30
2020;"Março";13;"Saneamento";10113,2171440596;31
2020;"Março";13;"Mata Seca";0;32
2020;"Março";13;"Meio Ambiente";25230,6027618588;8
2020;"Março";13;"PSF";1736,49771882653;15
2020;"Março";13;"ICMS Solidário";5764,16862622355;24
2020;"Março";13;"Índice Mínimo per capita";0;25
2020;"Março";13;"Índice de participação";185675,498900793;17
2020;"Março";13;"Compensações";-10,02;18
2020;"Março";13;"Valor Líquido + Compensações";185665,478900793;19
2020;"Março";14;"População";3775,47452622752;1
2020;"Março";14;"População dos 50 + Populosos";0;2
2020;"Março";14;"Área Geográfica";974,024195730058;3
2020;"Março";14;"Educação";22863,4779307843;4
2020;"Março";14;"Patrimônio Cultural";9609,34099722284;5
2020;"Março";14;"Receita Própria";13970,5614332775;6
2020;"Março";14;"Cota Mínima";63472,2751169707;11
2020;"Março";14;"Mineradores";0;12
2020;"Março";14;"Saúde per capita";20875,5691502147;16
2020;"Março";14;"VAF";103813,266258174;10
2020;"Março";14;"Esportes";0;22
2020;"Março";14;"Turismo";0;28
2020;"Março";14;"Penitenciárias";0;26
2020;"Março";14;"Recursos Hídricos";0;27
2020;"Março";14;"Produção de Alimentos";1660,94157724655;9
2020;"Março";14;"Unidades de Conservação (IC i)";0;30
2020;"Março";14;"Saneamento";11124,275873182;31
2020;"Março";14;"Mata Seca";0;32
2020;"Março";14;"Meio Ambiente";11123,1634455946;8
2020;"Março";14;"PSF";0;15
2020;"Março";14;"ICMS Solidário";6481,84192539806;24
2020;"Março";14;"Índice Mínimo per capita";0;25
2020;"Março";14;"Índice de participação";258619,968756573;17
2020;"Março";14;"Compensações";1265,86;18
2020;"Março";14;"Valor Líquido + Compensações";259885,828756573;19
2020;"Março";15;"População";44399,8747844882;1
2020;"Março";15;"População dos 50 + Populosos";0;2
2020;"Março";15;"Área Geográfica";8555,64325913757;3
2020;"Março";15;"Educação";31195,2573821255;4
2020;"Março";15;"Patrimônio Cultural";4429,90750390836;5
2020;"Março";15;"Receita Própria";36020,2597668656;6
2020;"Março";15;"Cota Mínima";63473,2703003836;11
2020;"Março";15;"Mineradores";0;12
2020;"Março";15;"Saúde per capita";7502,78265625466;16
2020;"Março";15;"VAF";725006,946007276;10
2020;"Março";15;"Esportes";0;22
2020;"Março";15;"Turismo";3946,92615400571;28
2020;"Março";15;"Penitenciárias";1335,82300529987;26
2020;"Março";15;"Recursos Hídricos";9231,78374081533;27
2020;"Março";15;"Produção de Alimentos";5958,3418365422;9
2020;"Março";15;"Unidades de Conservação (IC i)";3435,06146157833;30
2020;"Março";15;"Saneamento";10113,1366281689;31
2020;"Março";15;"Mata Seca";0;32
2020;"Março";15;"Meio Ambiente";13546,8432699382;8
2020;"Março";15;"PSF";12155,3872564857;15
2020;"Março";15;"ICMS Solidário";76226,9664015147;24
2020;"Março";15;"Índice Mínimo per capita";0;25
2020;"Março";15;"Índice de participação";1042985,96527832;17
2020;"Março";15;"Compensações";1729,27;18
2020;"Março";15;"Valor Líquido + Compensações";1044715,23527832;19
2020;"Março";16;"População";100442,123616881;1
2020;"Março";16;"População dos 50 + Populosos";140160,908272322;2
2020;"Março";16;"Área Geográfica";14282,3657296369;3
2020;"Março";16;"Educação";23507,7827327939;4
2020;"Março";16;"Patrimônio Cultural";7667,19507629441;5
2020;"Março";16;"Receita Própria";63237,4087649076;6
2020;"Março";16;"Cota Mínima";63473,6633136121;11
2020;"Março";16;"Mineradores";3,25941069535197;12
2020;"Março";16;"Saúde per capita";7809,76874453761;16
2020;"Março";16;"VAF";2751184,59904164;10
2020;"Março";16;"Esportes";0;22
2020;"Março";16;"Turismo";0;28
2020;"Março";16;"Penitenciárias";8751,99801803443;26
2020;"Março";16;"Recursos Hídricos";15890,242556274;27
2020;"Março";16;"Produção de Alimentos";15771,1393349663;9
2020;"Março";16;"Unidades de Conservação (IC i)";569,860287707003;30
2020;"Março";16;"Saneamento";20226,398493196;31
2020;"Março";16;"Mata Seca";0;32
2020;"Março";16;"Meio Ambiente";20794,1791550249;8
2020;"Março";16;"PSF";32993,3982688538;15
2020;"Março";16;"ICMS Solidário";172441,89132073;24
2020;"Março";16;"Índice Mínimo per capita";0;25
2020;"Março";16;"Índice de participação";3438411,89986508;17
2020;"Março";16;"Compensações";1296,63;18
2020;"Março";16;"Valor Líquido + Compensações";3439708,52986508;19
2020;"Março";724;"População";8672,11677590236;1
2020;"Março";724;"População dos 50 + Populosos";0;2
2020;"Março";724;"Área Geográfica";2189,61280393619;3
2020;"Março";724;"Educação";30395,5357451224;4
2020;"Março";724;"Patrimônio Cultural";10114,7397008343;5
2020;"Março";724;"Receita Própria";10878,2758252084;6
2020;"Março";724;"Cota Mínima";63471,9163250208;11
2020;"Março";724;"Mineradores";0;12
2020;"Março";724;"Saúde per capita";11013,3607997487;16
2020;"Março";724;"VAF";100002,778747878;10
2020;"Março";724;"Esportes";0;22
2020;"Março";724;"Turismo";3453,48671538752;28
2020;"Março";724;"Penitenciárias";0;26
2020;"Março";724;"Recursos Hídricos";0;27
2020;"Março";724;"Produção de Alimentos";7337,23219976083;9
2020;"Março";724;"Unidades de Conservação (IC i)";0;30
2020;"Março";724;"Saneamento";10112,9209005442;31
2020;"Março";724;"Mata Seca";0;32
2020;"Março";724;"Meio Ambiente";10111,9096084541;8
2020;"Março";724;"PSF";5209,34055631843;15
2020;"Março";724;"ICMS Solidário";14888,5364500548;24
2020;"Março";724;"Índice Mínimo per capita";0;25
2020;"Março";724;"Índice de participação";277738,839428764;17
2020;"Março";724;"Compensações";1678,04;18
2020;"Março";724;"Valor Líquido + Compensações";279416,879428764;19
2020;"Março";17;"População";52602,8715068329;1
2020;"Março";17;"População dos 50 + Populosos";0;2
2020;"Março";17;"Área Geográfica";38440,7982640609;3
2020;"Março";17;"Educação";65918,4621374496;4
2020;"Março";17;"Patrimônio Cultural";6945,73929854731;5
2020;"Março";17;"Receita Própria";21198,2319935995;6
2020;"Março";17;"Cota Mínima";63472,096097126;11
2020;"Março";17;"Mineradores";0,755030588066196;12
2020;"Março";17;"Saúde per capita";4522,10074805357;16
2020;"Março";17;"VAF";257331,322679494;10
2020;"Março";17;"Esportes";3648,76211819466;22
2020;"Março";17;"Turismo";0;28
2020;"Março";17;"Penitenciárias";3077,38096227302;26
2020;"Março";17;"Recursos Hídricos";0;27
2020;"Março";17;"Produção de Alimentos";28275,8713647692;9
2020;"Março";17;"Unidades de Conservação (IC i)";496,725506293491;30
2020;"Março";17;"Saneamento";10112,9495434651;31
2020;"Março";17;"Mata Seca";9,24931152974017;32
2020;"Março";17;"Meio Ambiente";10617,8726430949;8
2020;"Março";17;"PSF";20837,4212431306;15
2020;"Março";17;"ICMS Solidário";90310,1042162268;24
2020;"Março";17;"Índice Mínimo per capita";0;25
2020;"Março";17;"Índice de participação";667199,759949967;17
2020;"Março";17;"Compensações";3637,02;18
2020;"Março";17;"Valor Líquido + Compensações";670836,779949967;19
2020;"Março";18;"População";9321,04983487615;1
2020;"Março";18;"População dos 50 + Populosos";0;2
2020;"Março";18;"Área Geográfica";2798,02424254603;3
2020;"Março";18;"Educação";42480,2640562569;4
2020;"Março";18;"Patrimônio Cultural";5026,0322099821;5
2020;"Março";18;"Receita Própria";17623,5768408508;6
2020;"Março";18;"Cota Mínima";63470,6310153022;11
2020;"Março";18;"Mineradores";0;12
2020;"Março";18;"Saúde per capita";6259,53343089891;16
2020;"Março";18;"VAF";59775,7662933962;10
2020;"Março";18;"Esportes";513,625308122672;22
2020;"Março";18;"Turismo";0;28
2020;"Março";18;"Penitenciárias";0;26
2020;"Março";18;"Recursos Hídricos";54,0158867136267;27
2020;"Março";18;"Produção de Alimentos";1247,2124534185;9
2020;"Março";18;"Unidades de Conservação (IC i)";0;30
2020;"Março";18;"Saneamento";0;31
2020;"Março";18;"Mata Seca";0;32
2020;"Março";18;"Meio Ambiente";0;8
2020;"Março";18;"PSF";5209,23506689205;15
2020;"Março";18;"ICMS Solidário";16002,6431614663;24
2020;"Março";18;"Índice Mínimo per capita";0;25
2020;"Março";18;"Índice de participação";229781,610805017;17
2020;"Março";18;"Compensações";2356,73;18
2020;"Março";18;"Valor Líquido + Compensações";232138,340805017;19
2020;"Março";19;"População";24927,0590526798;1
2020;"Março";19;"População dos 50 + Populosos";0;2
2020;"Março";19;"Área Geográfica";7622,53782981123;3
2020;"Março";19;"Educação";22223,354598887;4
2020;"Março";19;"Patrimônio Cultural";12055,8789750121;5
2020;"Março";19;"Receita Própria";34906,5631503421;6
2020;"Março";19;"Cota Mínima";63473,2665649076;11
2020;"Março";19;"Mineradores";1,34766093352794;12
2020;"Março";19;"Saúde per capita";11388,9344532011;16
2020;"Março";19;"VAF";481343,091785986;10
2020;"Março";19;"Esportes";2325,9470303117;22
2020;"Março";19;"Turismo";4440,29166194006;28
2020;"Março";19;"Penitenciárias";0;26
2020;"Março";19;"Recursos Hídricos";0;27
2020;"Março";19;"Produção de Alimentos";8888,35917667989;9
2020;"Março";19;"Unidades de Conservação (IC i)";0;30
2020;"Março";19;"Saneamento";10113,136032999;31
2020;"Março";19;"Mata Seca";0;32
2020;"Março";19;"Meio Ambiente";10112,1247193957;8
2020;"Março";19;"PSF";10418,9027495374;15
2020;"Março";19;"ICMS Solidário";42795,4831431424;24
2020;"Março";19;"Índice Mínimo per capita";0;25
2020;"Março";19;"Índice de participação";736923,147737961;17
2020;"Março";19;"Compensações";1224,06;18
2020;"Março";19;"Valor Líquido + Compensações";738147,207737961;19
2020;"Março";20;"População";18162,9954399126;1
2020;"Março";20;"População dos 50 + Populosos";0;2
2020;"Março";20;"Área Geográfica";6079,19181404703;3
2020;"Março";20;"Educação";35174,9481144971;4
2020;"Março";20;"Patrimônio Cultural";14703,6851184043;5
2020;"Março";20;"Receita Própria";22860,9398880148;6
2020;"Março";20;"Cota Mínima";63472,4061980732;11
2020;"Março";20;"Mineradores";0;12
2020;"Março";20;"Saúde per capita";9235,42917902309;16
2020;"Março";20;"VAF";201333,01086496;10
2020;"Março";20;"Esportes";0;22
2020;"Março";20;"Turismo";0;28
2020;"Março";20;"Penitenciárias";0;26
2020;"Março";20;"Recursos Hídricos";1946,35449487033;27
2020;"Março";20;"Produção de Alimentos";13848,483525571;9
2020;"Março";20;"Unidades de Conservação (IC i)";68,620382462541;30
2020;"Março";20;"Saneamento";10112,9989515582;31
2020;"Março";20;"Mata Seca";0;32
2020;"Março";20;"Meio Ambiente";10180,6011720873;8
2020;"Março";20;"PSF";8682,30126957732;15
2020;"Março";20;"ICMS Solidário";31182,7465701048;24
2020;"Março";20;"Índice Mínimo per capita";0;25
2020;"Março";20;"Índice de participação";436863,127913049;17
2020;"Março";20;"Compensações";1940,22;18
2020;"Março";20;"Valor Líquido + Compensações";438803,347913049;19
2020;"Março";769;"População";7341,1662901942;1
2020;"Março";769;"População dos 50 + Populosos";0;2
2020;"Março";769;"Área Geográfica";1754,42659836416;3
2020;"Março";769;"Educação";31794,5964835086;4
2020;"Março";769;"Patrimônio Cultural";8649,42030119174;5
2020;"Março";769;"Receita Própria";13269,8982898555;6
2020;"Março";769;"Cota Mínima";63471,3765352615;11
2020;"Março";769;"Mineradores";0;12
2020;"Março";769;"Saúde per capita";12917,6820011403;16
2020;"Março";769;"VAF";49392,8004072012;10
2020;"Março";769;"Esportes";0;22
2020;"Março";769;"Turismo";2960,10629622766;28
2020;"Março";769;"Penitenciárias";0;26
2020;"Março";769;"Recursos Hídricos";0;27
2020;"Março";769;"Produção de Alimentos";2509,0843785833;9
2020;"Março";769;"Unidades de Conservação (IC i)";15210,028638644;30
2020;"Março";769;"Saneamento";0;31
